"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.13175623391255,1,0.502,0,"0","S100A8"
0,3.7025419583701,1,0.629,0,"0","S100A9"
0,3.58725090406701,0.995,0.211,0,"0","S100A12"
0,2.96597651827997,0.996,0.212,0,"0","VCAN"
0,2.96026502287226,1,0.682,0,"0","LYZ"
0,2.64951309207505,0.998,0.236,0,"0","MNDA"
0,2.48678662017081,0.999,0.248,0,"0","FCN1"
0,2.24308548091022,0.976,0.172,0,"0","AC020656.1"
0,2.239902077174,0.965,0.159,0,"0","CD14"
0,2.23067054772943,0.961,0.288,0,"0","RGS2"
0,2.17869720780861,1,0.647,0,"0","CTSS"
0,2.12465692039668,1,0.937,0,"0","FOS"
0,2.10798203914441,0.894,0.157,0,"0","PLBD1"
0,2.01255915332809,0.966,0.186,0,"0","CSTA"
0,1.98928531194493,0.972,0.192,0,"0","MS4A6A"
0,1.95888896038718,0.943,0.188,0,"0","CD36"
0,1.92804883313736,0.957,0.245,0,"0","KLF4"
0,1.91649325418553,1,0.848,0,"0","DUSP1"
0,1.91135188041154,1,0.882,0,"0","S100A6"
0,1.88637411247197,0.945,0.172,0,"0","CSF3R"
0,1.84091763061592,0.961,0.297,0,"0","CEBPD"
0,1.83646047908963,0.964,0.368,0,"0","APLP2"
0,1.8322688878038,0.996,0.393,0,"0","LGALS1"
0,1.82778386262008,0.974,0.292,0,"0","GRN"
0,1.81905354383236,0.999,0.357,0,"0","TYROBP"
0,1.79552161096351,0.999,0.292,0,"0","CST3"
0,1.79474414004229,0.967,0.274,0,"0","CYBB"
0,1.76923266154741,0.999,0.681,0,"0","SRGN"
0,1.76637552438158,0.975,0.224,0,"0","FGL2"
0,1.7494722258377,0.747,0.074,0,"0","CYP1B1"
0,1.74145747016852,0.978,0.501,0,"0","TKT"
0,1.74031635612112,1,0.989,0,"0","FTL"
0,1.69915427183556,0.97,0.416,0,"0","AP1S2"
0,1.69497252997442,0.959,0.235,0,"0","MPEG1"
0,1.69292599566465,0.937,0.213,0,"0","NCF2"
0,1.67110422779624,0.99,0.655,0,"0","TSPO"
0,1.6568555705301,0.486,0.084,0,"0","CXCL8"
0,1.63448373774894,0.992,0.481,0,"0","PSAP"
0,1.61395147181431,0.968,0.499,0,"0","CTSD"
0,1.61093018100255,0.886,0.226,0,"0","DUSP6"
0,1.6060056322033,0.905,0.267,0,"0","GCA"
