"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.13175623391255,1,0.502,0,"0","S100A8"
0,3.7025419583701,1,0.629,0,"0","S100A9"
0,3.58725090406701,0.995,0.211,0,"0","S100A12"
0,2.96597651827997,0.996,0.212,0,"0","VCAN"
0,2.96026502287226,1,0.682,0,"0","LYZ"
0,2.64951309207505,0.998,0.236,0,"0","MNDA"
0,2.48678662017081,0.999,0.248,0,"0","FCN1"
0,2.24308548091022,0.976,0.172,0,"0","AC020656.1"
0,2.239902077174,0.965,0.159,0,"0","CD14"
0,2.23067054772943,0.961,0.288,0,"0","RGS2"
0,1.83157288777048,0.93,0.321,0,"1","IL7R"
0,1.53441306084456,0.969,0.371,0,"1","TRAC"
0,1.51186364333191,0.958,0.366,0,"1","IL32"
0,1.3074550357732,0.989,0.626,0,"1","LTB"
0,1.23496595985954,0.976,0.707,0,"1","LDHB"
0,1.17789676357807,0.962,0.344,0,"1","CD3D"
0,1.15185137529445,0.818,0.25,0,"1","CD2"
0,1.10901181735983,0.891,0.307,0,"1","CD3G"
3.20252855494783e-284,1.17813679510458,0.827,0.418,1.0740640267584e-279,"1","TRBC2"
6.06030269835469e-222,1.24240921739753,0.63,0.269,2.03250431897419e-217,"1","TRBC1"
0,1.27710516789575,0.92,0.366,0,"2","TCF7"
0,1.24240012661528,0.718,0.175,0,"2","CCR7"
0,1.16608136085042,0.67,0.166,0,"2","TRABD2A"
0,1.16011026651236,0.676,0.149,0,"2","LEF1"
0,1.10004342213487,0.541,0.077,0,"2","FHIT"
2.37701529859882e-288,1.15219888574099,0.985,0.729,7.97203390844073e-284,"2","LDHB"
3.32854752751191e-243,1.00507024291804,0.893,0.358,1.11632826977694e-238,"2","CD3G"
1.0699058196844e-241,1.08624410372356,0.75,0.28,3.58825013805755e-237,"2","BCL11B"
1.85756790897834e-232,1.10423208081463,0.896,0.509,6.22991125313154e-228,"2","NOSIP"
7.81496691266263e-220,1.05418102234914,0.783,0.369,2.62098360316879e-215,"2","PIK3IP1"
0,1.93682392427237,0.992,0.274,0,"3","CPVL"
0,1.92919903414972,0.964,0.202,0,"3","LGALS2"
0,1.77996986759239,1,0.373,0,"3","CST3"
0,1.77798290818992,1,0.43,0,"3","TYMP"
0,1.76866905733539,1,0.539,0,"3","PSAP"
0,1.74296550358794,0.999,0.307,0,"3","FGL2"
0,1.68856924976827,1,0.687,0,"3","CTSS"
